省份,科类,分数,百分位,位次,稳妥层次,分段数据源,有投档索引,冲刺院校,稳妥院校,保底院校,冲刺专业,稳妥专业,保底专业,问题数
上海,综合类,402,0.41,49276,专科,eol.cn+ocr,True,九江学院 | 京中东方 | 南宁师大,三亚学院 | 上外贤达 | 中侨大学,,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 业财数据应用与管理,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程,0
上海,综合类,427,11.49,43847,专科,eol.cn+ocr,True,上海商院 | 上海视觉 | 东华理工,三峡科技 | 上师天华 | 上海杉达,三亚学院 | 上外贤达 | 中侨大学 | 二外中瑞 | 京中东方,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 业财数据应用与管理,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程,0
上海,综合类,452,24.12,37654,专科,eol.cn+ocr,True,新疆大学 | 上工程 | 云南警官,上海电机 | 二工大 | 云南财大,三峡科技 | 上师天华 | 上海商院 | 上海视觉 | 上饶师院,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 业财数据应用与管理,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程,0
上海,综合类,477,38.1,30793,专科,eol.cn+ocr,True,上海体大 | 上海海大 | 上海电力,新疆大学 | 上应大 | 中南民族,上工程 | 云南警官 | 云南财大 | 健康医学 | 兰州交大,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 业财数据应用与管理,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程,0
上海,综合类,502,52.55,23670,专科,eol.cn+ocr,True,上经贸大 | 东北电力 | 中国戏曲,宁波大学 | 三峡大学 | 上海中医,上海体大 | 上海电力 | 中国民航 | 中国警察 | 云南师大,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 业财数据应用与管理,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程,0
上海,综合类,527,66.75,16666,二本,eol.cn+ocr,True,深圳大学 | 郑州大学 | 东大秦岛,云南大学 | 燕山大学 | 上海戏剧,宁波大学 | 三峡大学 | 上海中医 | 上海政法 | 上海音乐,电子商务 | 口腔医学技术 | 学前教育 | 遥感科学与技术,护理学 | 康复治疗学 | 市场营销 | 土木工程,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程,0
上海,综合类,552,80.22,10002,二本,eol.cn+ocr,True,山东大学 | 上海外大 | 中国传媒,深圳大学 | 苏州大学 | 兰州大学,郑州大学 | 云南大学 | 燕山大学 | 上海戏剧 | 上海理工,电子商务 | 口腔医学技术 | 学前教育 | 遥感科学与技术,护理学 | 康复治疗学 | 市场营销 | 土木工程,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程,0
上海,综合类,577,90.95,4645,一本,eol.cn+ocr,True,,复旦大学 | 同济大学 | 武汉大学,苏州大学 | 兰州大学 | 中南财政 | 中国传媒 | 中国海洋,护理学 | 电子商务 | 口腔医学技术 | 康复治疗学,新能源科学与工程 | 会计学 | 电子信息工程 | 电气工程及其自动化,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程,0
上海,综合类,587,94.35,2934,双一流,eol.cn+ocr,True,,复旦大学 | 同济大学 | 中山大学,武汉大学 | 四川大学 | 山东大学 | 湖南大学 | 吉林大学,新能源科学与工程 | 会计学 | 电子信息工程 | 电气工程及其自动化,,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程,0
上海,综合类,600,97.68,1250,211,eol.cn+ocr,True,,,复旦大学 | 同济大学 | 武汉大学 | 中山大学 | 天津大学,新能源科学与工程 | 会计学 | 电子信息工程 | 电气工程及其自动化,临床医学 | 机器人工程 | 网络空间安全 | 数据科学与大数据技术,集成电路设计与集成系统 | 人工智能 | 保密管理 | 分子科学与工程,0
上海,综合类,602,98.08,1048,211,eol.cn+ocr,True,,,复旦大学 | 同济大学 | 中山大学 | 天津大学 | 中南大学,新能源科学与工程 | 会计学 | 电子信息工程 | 电气工程及其自动化,临床医学 | 机器人工程 | 网络空间安全 | 数据科学与大数据技术,集成电路设计与集成系统 | 人工智能 | 保密管理 | 分子科学与工程,0
上海,综合类,619,99.82,116,C9,eol.cn+ocr,True,,,,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程,,,0
上海,综合类,627,99.9,64,C9,eol.cn+ocr,True,,,,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程,,,0
上海,综合类,652,99.9,64,C9,eol.cn+ocr,True,,,,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程,,,0
上海,综合类,660,99.9,64,C9,eol.cn+ocr,True,,,,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程,,,0
云南,物理类,517,0.18,173191,专科,eol.cn+ocr,False,,,,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 丝绸技术,服装与服饰设计 | 集成电路设计与集成系统 | 临床医学 | 人工智能,0
云南,物理类,542,0.39,172820,专科,eol.cn+ocr,False,,,,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 丝绸技术,服装与服饰设计 | 集成电路设计与集成系统 | 临床医学 | 人工智能,0
云南,物理类,567,2.88,168830,专科,eol.cn+ocr,False,,,,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 丝绸技术,服装与服饰设计 | 集成电路设计与集成系统 | 临床医学 | 人工智能,0
云南,物理类,587,9.35,157616,专科,eol.cn+ocr,False,,,,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 丝绸技术,服装与服饰设计 | 集成电路设计与集成系统 | 临床医学 | 人工智能,0
云南,物理类,592,10.88,154812,专科,eol.cn+ocr,False,,,,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 丝绸技术,服装与服饰设计 | 集成电路设计与集成系统 | 临床医学 | 人工智能,0
云南,物理类,600,13.67,150140,专科,eol.cn+ocr,False,,,,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 丝绸技术,服装与服饰设计 | 集成电路设计与集成系统 | 临床医学 | 人工智能,0
云南,物理类,617,19.06,140796,专科,eol.cn+ocr,False,,,,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 丝绸技术,服装与服饰设计 | 集成电路设计与集成系统 | 临床医学 | 人工智能,0
云南,物理类,619,19.78,139550,专科,eol.cn+ocr,False,,,,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 丝绸技术,服装与服饰设计 | 集成电路设计与集成系统 | 临床医学 | 人工智能,0
云南,物理类,642,26.98,127090,专科,eol.cn+ocr,False,,,,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 丝绸技术,服装与服饰设计 | 集成电路设计与集成系统 | 临床医学 | 人工智能,0
云南,物理类,667,34.71,113384,专科,eol.cn+ocr,False,,,,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 丝绸技术,服装与服饰设计 | 集成电路设计与集成系统 | 临床医学 | 人工智能,0
云南,物理类,692,43.17,99055,专科,eol.cn+ocr,False,,,,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 丝绸技术,服装与服饰设计 | 集成电路设计与集成系统 | 临床医学 | 人工智能,0
云南,物理类,697,44.6,96563,专科,eol.cn+ocr,False,,,,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 丝绸技术,服装与服饰设计 | 集成电路设计与集成系统 | 临床医学 | 人工智能,0
云南,物理类,717,51.08,85350,专科,eol.cn+ocr,False,,,,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 丝绸技术,服装与服饰设计 | 集成电路设计与集成系统 | 临床医学 | 人工智能,0
云南,物理类,742,94.78,14952,双一流,eol.cn+ocr,False,,,,新能源科学与工程 | 电子信息工程 | 电气工程及其自动化 | 统计学,,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程,0
云南,物理类,750,94.78,14952,双一流,eol.cn+ocr,False,,,,新能源科学与工程 | 电子信息工程 | 电气工程及其自动化 | 统计学,,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程,0
云南,历史类,517,0.18,173191,专科,eol.cn+ocr,False,,,,,业财数据应用与管理 | 中兽医 | 中小企业创业与经营 | 中文,会计学 | 中医儿科学 | 中国古典学 | 中药资源与开发,0
云南,历史类,542,0.39,172820,专科,eol.cn+ocr,False,,,,,业财数据应用与管理 | 中兽医 | 中小企业创业与经营 | 中文,会计学 | 中医儿科学 | 中国古典学 | 中药资源与开发,0
云南,历史类,567,2.88,168830,专科,eol.cn+ocr,False,,,,,业财数据应用与管理 | 中兽医 | 中小企业创业与经营 | 中文,会计学 | 中医儿科学 | 中国古典学 | 中药资源与开发,0
云南,历史类,587,9.35,157616,专科,eol.cn+ocr,False,,,,,业财数据应用与管理 | 中兽医 | 中小企业创业与经营 | 中文,会计学 | 中医儿科学 | 中国古典学 | 中药资源与开发,0
云南,历史类,592,10.88,154812,专科,eol.cn+ocr,False,,,,,业财数据应用与管理 | 中兽医 | 中小企业创业与经营 | 中文,会计学 | 中医儿科学 | 中国古典学 | 中药资源与开发,0
云南,历史类,600,13.67,150140,专科,eol.cn+ocr,False,,,,,业财数据应用与管理 | 中兽医 | 中小企业创业与经营 | 中文,会计学 | 中医儿科学 | 中国古典学 | 中药资源与开发,0
云南,历史类,617,19.06,140796,专科,eol.cn+ocr,False,,,,,业财数据应用与管理 | 中兽医 | 中小企业创业与经营 | 中文,会计学 | 中医儿科学 | 中国古典学 | 中药资源与开发,0
云南,历史类,619,19.78,139550,专科,eol.cn+ocr,False,,,,,业财数据应用与管理 | 中兽医 | 中小企业创业与经营 | 中文,会计学 | 中医儿科学 | 中国古典学 | 中药资源与开发,0
云南,历史类,642,26.98,127090,专科,eol.cn+ocr,False,,,,,业财数据应用与管理 | 中兽医 | 中小企业创业与经营 | 中文,会计学 | 中医儿科学 | 中国古典学 | 中药资源与开发,0
云南,历史类,667,34.71,113384,专科,eol.cn+ocr,False,,,,,业财数据应用与管理 | 中兽医 | 中小企业创业与经营 | 中文,会计学 | 中医儿科学 | 中国古典学 | 中药资源与开发,0
云南,历史类,692,43.17,99055,专科,eol.cn+ocr,False,,,,,业财数据应用与管理 | 中兽医 | 中小企业创业与经营 | 中文,会计学 | 中医儿科学 | 中国古典学 | 中药资源与开发,0
云南,历史类,697,44.6,96563,专科,eol.cn+ocr,False,,,,,业财数据应用与管理 | 中兽医 | 中小企业创业与经营 | 中文,会计学 | 中医儿科学 | 中国古典学 | 中药资源与开发,0
云南,历史类,717,51.08,85350,专科,eol.cn+ocr,False,,,,,业财数据应用与管理 | 中兽医 | 中小企业创业与经营 | 中文,会计学 | 中医儿科学 | 中国古典学 | 中药资源与开发,0
云南,历史类,742,94.78,14952,双一流,eol.cn+ocr,False,,,,会计学 | 中医儿科学 | 中国古典学 | 中药资源与开发,,法学 | 保密管理 | 保险学 | 公安管理学,0
云南,历史类,750,94.78,14952,双一流,eol.cn+ocr,False,,,,会计学 | 中医儿科学 | 中国古典学 | 中药资源与开发,,法学 | 保密管理 | 保险学 | 公安管理学,0
内蒙古,物理类,316,0.14,83716,专科,eol.cn,False,,,,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 丝绸技术,服装与服饰设计 | 集成电路设计与集成系统 | 临床医学 | 人工智能,0
内蒙古,物理类,341,4.77,79912,专科,eol.cn,False,,,,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 丝绸技术,服装与服饰设计 | 集成电路设计与集成系统 | 临床医学 | 人工智能,0
内蒙古,物理类,366,11.24,74557,专科,eol.cn,False,,,,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 丝绸技术,服装与服饰设计 | 集成电路设计与集成系统 | 临床医学 | 人工智能,0
内蒙古,物理类,391,19.74,67492,专科,eol.cn,False,,,,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 丝绸技术,服装与服饰设计 | 集成电路设计与集成系统 | 临床医学 | 人工智能,0
内蒙古,物理类,416,29.57,59304,专科,eol.cn,False,,,,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 丝绸技术,服装与服饰设计 | 集成电路设计与集成系统 | 临床医学 | 人工智能,0
内蒙古,物理类,441,39.95,50620,专科,eol.cn,False,,,,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 丝绸技术,服装与服饰设计 | 集成电路设计与集成系统 | 临床医学 | 人工智能,0
内蒙古,物理类,466,49.99,42197,专科,eol.cn,False,,,,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 丝绸技术,服装与服饰设计 | 集成电路设计与集成系统 | 临床医学 | 人工智能,0
内蒙古,物理类,491,59.53,34190,专科,eol.cn,False,,,,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 丝绸技术,服装与服饰设计 | 集成电路设计与集成系统 | 临床医学 | 人工智能,0
内蒙古,物理类,516,68.57,26608,二本,eol.cn,False,,,,口腔医学技术 | 遥感科学与技术 | 中医康复学 | 宝石及材料工艺学,护理学 | 康复治疗学 | 土木工程 | 临床药学,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程,0
内蒙古,物理类,541,76.92,19580,二本,eol.cn,False,,,,口腔医学技术 | 遥感科学与技术 | 中医康复学 | 宝石及材料工艺学,护理学 | 康复治疗学 | 土木工程 | 临床药学,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程,0
内蒙古,物理类,566,84.26,13410,二本,eol.cn,False,,,,口腔医学技术 | 遥感科学与技术 | 中医康复学 | 宝石及材料工艺学,护理学 | 康复治疗学 | 土木工程 | 临床药学,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程,0
内蒙古,物理类,587,89.48,8992,一本,eol.cn,False,,,,护理学 | 口腔医学技术 | 康复治疗学 | 土木工程,新能源科学与工程 | 电子信息工程 | 电气工程及其自动化 | 统计学,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程,0
内蒙古,物理类,591,90.34,8266,一本,eol.cn,False,,,,护理学 | 口腔医学技术 | 康复治疗学 | 土木工程,新能源科学与工程 | 电子信息工程 | 电气工程及其自动化 | 统计学,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程,0
内蒙古,物理类,600,92.18,6716,一本,eol.cn,False,,,,护理学 | 口腔医学技术 | 康复治疗学 | 土木工程,新能源科学与工程 | 电子信息工程 | 电气工程及其自动化 | 统计学,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程,0
内蒙古,物理类,616,94.92,4387,双一流,eol.cn,False,,,,新能源科学与工程 | 电子信息工程 | 电气工程及其自动化 | 统计学,,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程,0
内蒙古,物理类,619,95.37,4004,双一流,eol.cn,False,,,,新能源科学与工程 | 电子信息工程 | 电气工程及其自动化 | 统计学,,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程,0
内蒙古,物理类,641,97.95,1792,211,eol.cn,False,,,,新能源科学与工程 | 电子信息工程 | 电气工程及其自动化 | 统计学,临床医学 | 机器人工程 | 网络空间安全 | 数据科学与大数据技术,集成电路设计与集成系统 | 人工智能 | 分子科学与工程 | 声学,0
内蒙古,物理类,666,99.41,524,985,eol.cn,False,,,,临床医学 | 机器人工程 | 网络空间安全 | 数据科学与大数据技术,集成电路设计与集成系统 | 人工智能 | 分子科学与工程 | 声学,,0
内蒙古,物理类,691,99.94,64,C9,eol.cn,False,,,,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程,,,0
内蒙古,物理类,697,99.96,36,C9,eol.cn,False,,,,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程,,,0
内蒙古,物理类,716,99.97,24,C9,eol.cn,False,,,,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程,,,0
内蒙古,物理类,741,99.98,15,C9,eol.cn,False,,,,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程,,,0
内蒙古,物理类,750,99.99,12,C9,eol.cn,False,,,,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程,,,0
内蒙古,历史类,320,0.2,32644,专科,eol.cn,False,,,,,业财数据应用与管理 | 中兽医 | 中小企业创业与经营 | 中文,会计学 | 中医儿科学 | 中国古典学 | 中药资源与开发,0
内蒙古,历史类,345,5.69,30876,专科,eol.cn,False,,,,,业财数据应用与管理 | 中兽医 | 中小企业创业与经营 | 中文,会计学 | 中医儿科学 | 中国古典学 | 中药资源与开发,0
内蒙古,历史类,370,13.11,28472,专科,eol.cn,False,,,,,业财数据应用与管理 | 中兽医 | 中小企业创业与经营 | 中文,会计学 | 中医儿科学 | 中国古典学 | 中药资源与开发,0
内蒙古,历史类,395,22.23,25514,专科,eol.cn,False,,,,,业财数据应用与管理 | 中兽医 | 中小企业创业与经营 | 中文,会计学 | 中医儿科学 | 中国古典学 | 中药资源与开发,0
内蒙古,历史类,420,32.65,22133,专科,eol.cn,False,,,,,业财数据应用与管理 | 中兽医 | 中小企业创业与经营 | 中文,会计学 | 中医儿科学 | 中国古典学 | 中药资源与开发,0
内蒙古,历史类,445,44.03,18424,专科,eol.cn,False,,,,,业财数据应用与管理 | 中兽医 | 中小企业创业与经营 | 中文,会计学 | 中医儿科学 | 中国古典学 | 中药资源与开发,0
内蒙古,历史类,470,55.15,14781,专科,eol.cn,False,,,,,业财数据应用与管理 | 中兽医 | 中小企业创业与经营 | 中文,会计学 | 中医儿科学 | 中国古典学 | 中药资源与开发,0
内蒙古,历史类,495,65.5,11386,二本,eol.cn,False,,,,电子商务 | 学前教育 | 中医康复学 | 卫生教育,护理学 | 康复治疗学 | 市场营销 | 物流管理,会计学 | 中医儿科学 | 中国古典学 | 中药资源与开发,0
内蒙古,历史类,520,74.94,8298,二本,eol.cn,False,,,,电子商务 | 学前教育 | 中医康复学 | 卫生教育,护理学 | 康复治疗学 | 市场营销 | 物流管理,会计学 | 中医儿科学 | 中国古典学 | 中药资源与开发,0
内蒙古,历史类,545,82.72,5730,二本,eol.cn,False,,,,电子商务 | 学前教育 | 中医康复学 | 卫生教育,护理学 | 康复治疗学 | 市场营销 | 物流管理,会计学 | 中医儿科学 | 中国古典学 | 中药资源与开发,0
内蒙古,历史类,570,89.33,3563,一本,eol.cn,False,,,,护理学 | 电子商务 | 康复治疗学 | 市场营销,会计学 | 中医儿科学 | 中国古典学 | 中药资源与开发,法学 | 保密管理 | 保险学 | 公安管理学,0
内蒙古,历史类,587,92.73,2434,一本,eol.cn,False,,,,护理学 | 电子商务 | 康复治疗学 | 市场营销,会计学 | 中医儿科学 | 中国古典学 | 中药资源与开发,法学 | 保密管理 | 保险学 | 公安管理学,0
内蒙古,历史类,595,94.09,1982,双一流,eol.cn,False,,,,会计学 | 中医儿科学 | 中国古典学 | 中药资源与开发,,法学 | 保密管理 | 保险学 | 公安管理学,0
内蒙古,历史类,600,94.88,1721,双一流,eol.cn,False,,,,会计学 | 中医儿科学 | 中国古典学 | 中药资源与开发,,法学 | 保密管理 | 保险学 | 公安管理学,0
内蒙古,历史类,619,97.36,900,211,eol.cn,False,,,,会计学 | 中医儿科学 | 中国古典学 | 中药资源与开发,法学 | 保险学 | 公安管理学 | 国内安全保卫,保密管理 | 创业管理 | 国际事务与国际关系 | 女性学,0
内蒙古,历史类,620,97.47,863,211,eol.cn,False,,,,会计学 | 中医儿科学 | 中国古典学 | 中药资源与开发,法学 | 保险学 | 公安管理学 | 国内安全保卫,保密管理 | 创业管理 | 国际事务与国际关系 | 女性学,0
内蒙古,历史类,645,99.41,206,985,eol.cn,False,,,,会计学 | 中医儿科学 | 中国古典学 | 中药资源与开发,保密管理 | 创业管理 | 国际事务与国际关系 | 女性学,,0
内蒙古,历史类,670,99.93,25,C9,eol.cn,False,,,,会计学 | 中医儿科学 | 中国古典学 | 中药资源与开发,,,0
内蒙古,历史类,695,99.94,20,C9,eol.cn,False,,,,会计学 | 中医儿科学 | 中国古典学 | 中药资源与开发,,,0
内蒙古,历史类,697,99.94,20,C9,eol.cn,False,,,,会计学 | 中医儿科学 | 中国古典学 | 中药资源与开发,,,0
内蒙古,历史类,720,99.95,16,C9,eol.cn,False,,,,会计学 | 中医儿科学 | 中国古典学 | 中药资源与开发,,,0
内蒙古,历史类,745,99.96,14,C9,eol.cn,False,,,,会计学 | 中医儿科学 | 中国古典学 | 中药资源与开发,,,0
内蒙古,历史类,750,99.96,13,C9,eol.cn,False,,,,会计学 | 中医儿科学 | 中国古典学 | 中药资源与开发,,,0
北京,综合类,380,0.52,60954,专科,eol.cn,False,,,,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 业财数据应用与管理,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程,0
北京,综合类,405,5.47,57752,专科,eol.cn,False,,,,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 业财数据应用与管理,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程,0
北京,综合类,430,11.74,53975,专科,eol.cn,False,,,,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 业财数据应用与管理,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程,0
北京,综合类,455,20.2,48869,专科,eol.cn,False,,,,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 业财数据应用与管理,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程,0
北京,综合类,480,30.22,42797,专科,eol.cn,False,,,,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 业财数据应用与管理,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程,0
北京,综合类,505,41.05,36195,专科,eol.cn,False,,,,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 业财数据应用与管理,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程,0
北京,综合类,530,52.09,29475,专科,eol.cn,False,,,,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 业财数据应用与管理,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程,0
北京,综合类,555,63.12,22740,专科,eol.cn,False,,,,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 业财数据应用与管理,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程,0
北京,综合类,580,73.36,16493,二本,eol.cn,False,,,,电子商务 | 口腔医学技术 | 学前教育 | 遥感科学与技术,护理学 | 康复治疗学 | 市场营销 | 土木工程,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程,0
北京,综合类,587,76.09,14815,二本,eol.cn,False,,,,电子商务 | 口腔医学技术 | 学前教育 | 遥感科学与技术,护理学 | 康复治疗学 | 市场营销 | 土木工程,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程,0
北京,综合类,600,80.88,11877,二本,eol.cn,False,,,,电子商务 | 口腔医学技术 | 学前教育 | 遥感科学与技术,护理学 | 康复治疗学 | 市场营销 | 土木工程,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程,0
北京,综合类,605,82.72,10758,二本,eol.cn,False,,,,电子商务 | 口腔医学技术 | 学前教育 | 遥感科学与技术,护理学 | 康复治疗学 | 市场营销 | 土木工程,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程,0
北京,综合类,619,87.04,7983,一本,eol.cn,False,,,,护理学 | 电子商务 | 口腔医学技术 | 康复治疗学,新能源科学与工程 | 会计学 | 电子信息工程 | 电气工程及其自动化,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程,0
北京,综合类,630,90.29,6084,一本,eol.cn,False,,,,护理学 | 电子商务 | 口腔医学技术 | 康复治疗学,新能源科学与工程 | 会计学 | 电子信息工程 | 电气工程及其自动化,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程,0
北京,综合类,655,95.82,2656,双一流,eol.cn,False,,,,新能源科学与工程 | 会计学 | 电子信息工程 | 电气工程及其自动化,,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程,0
北京,综合类,680,98.97,685,985,eol.cn,False,,,,临床医学 | 机器人工程 | 网络空间安全 | 数据科学与大数据技术,集成电路设计与集成系统 | 人工智能 | 保密管理 | 分子科学与工程,,0
北京,综合类,697,99.73,167,C9,eol.cn,False,,,,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程,,,0
北京,综合类,705,99.74,159,C9,eol.cn,False,,,,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程,,,0
北京,综合类,730,99.78,133,C9,eol.cn,False,,,,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程,,,0
北京,综合类,750,99.82,113,C9,eol.cn,False,,,,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程,,,0
吉林,物理类,282,0.1,80421,专科,eol.cn,False,,,,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 丝绸技术,服装与服饰设计 | 集成电路设计与集成系统 | 临床医学 | 人工智能,0
吉林,物理类,307,3.07,78062,专科,eol.cn,False,,,,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 丝绸技术,服装与服饰设计 | 集成电路设计与集成系统 | 临床医学 | 人工智能,0
吉林,物理类,332,7.66,74438,专科,eol.cn,False,,,,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 丝绸技术,服装与服饰设计 | 集成电路设计与集成系统 | 临床医学 | 人工智能,0
吉林,物理类,357,13.76,69564,专科,eol.cn,False,,,,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 丝绸技术,服装与服饰设计 | 集成电路设计与集成系统 | 临床医学 | 人工智能,0
吉林,物理类,382,21.47,63416,专科,eol.cn,False,,,,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 丝绸技术,服装与服饰设计 | 集成电路设计与集成系统 | 临床医学 | 人工智能,0
吉林,物理类,407,30.42,56254,专科,eol.cn,False,,,,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 丝绸技术,服装与服饰设计 | 集成电路设计与集成系统 | 临床医学 | 人工智能,0
吉林,物理类,432,40.14,48463,专科,eol.cn,False,,,,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 丝绸技术,服装与服饰设计 | 集成电路设计与集成系统 | 临床医学 | 人工智能,0
吉林,物理类,457,50.03,40498,专科,eol.cn,False,,,,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 丝绸技术,服装与服饰设计 | 集成电路设计与集成系统 | 临床医学 | 人工智能,0
吉林,物理类,482,59.44,32910,专科,eol.cn,False,,,,,新能源汽车技术 | 计算机网络技术 | 大数据技术 | 丝绸技术,服装与服饰设计 | 集成电路设计与集成系统 | 临床医学 | 人工智能,0
吉林,物理类,507,68.39,25706,二本,eol.cn,False,,,,口腔医学技术 | 遥感科学与技术 | 中医康复学 | 宝石及材料工艺学,护理学 | 康复治疗学 | 土木工程 | 临床药学,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程,0
吉林,物理类,532,76.36,19266,二本,eol.cn,False,,,,口腔医学技术 | 遥感科学与技术 | 中医康复学 | 宝石及材料工艺学,护理学 | 康复治疗学 | 土木工程 | 临床药学,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程,0
吉林,物理类,557,83.36,13595,二本,eol.cn,False,,,,口腔医学技术 | 遥感科学与技术 | 中医康复学 | 宝石及材料工艺学,护理学 | 康复治疗学 | 土木工程 | 临床药学,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程,0
吉林,物理类,582,89.35,8740,一本,eol.cn,False,,,,护理学 | 口腔医学技术 | 康复治疗学 | 土木工程,新能源科学与工程 | 电子信息工程 | 电气工程及其自动化 | 统计学,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程,0
吉林,物理类,587,90.41,7878,一本,eol.cn,False,,,,护理学 | 口腔医学技术 | 康复治疗学 | 土木工程,新能源科学与工程 | 电子信息工程 | 电气工程及其自动化 | 统计学,集成电路设计与集成系统 | 临床医学 | 人工智能 | 机器人工程,0
