province,year,track,schoolName,minScore
云南,2023,物理类,云南中医药大学,494
云南,2023,物理类,云南交通职业技术大学,350
云南,2023,物理类,云南农业大学,455
云南,2023,物理类,云南农业职业技术学院,253
云南,2023,物理类,云南医药健康职业学院,312
云南,2023,物理类,云南司法警官职业学院,368
云南,2023,物理类,云南商务职业学院,240
云南,2023,物理类,云南国土资源职业学院,312
云南,2023,物理类,云南城市建设职业学院,207
云南,2023,物理类,云南大学,496
云南,2023,物理类,云南工商学院,203
云南,2023,物理类,云南工程职业学院,227
云南,2023,物理类,云南师范大学,491
云南,2023,物理类,云南新兴职业学院,247
云南,2023,物理类,云南机电职业技术学院,359
云南,2023,物理类,云南林业职业技术学院,341
云南,2023,物理类,云南民族大学,464
云南,2023,物理类,云南水利水电职业学院,308
云南,2023,物理类,云南特殊教育职业学院,385
云南,2023,物理类,云南理工职业学院,200
云南,2023,物理类,云南经济管理学院,269
云南,2023,物理类,云南警官学院,449
云南,2023,物理类,云南财经大学,430
云南,2023,物理类,云南财经职业学院,360
云南,2023,物理类,保山中医药高等专科学校,350
云南,2023,物理类,保山学院,451
云南,2023,物理类,大理大学,457
云南,2023,物理类,大理护理职业学院,357
云南,2023,物理类,德宏职业学院,377
云南,2023,物理类,文山学院,452
云南,2023,物理类,昆明传媒学院,416
云南,2023,物理类,昆明冶金职业大学,328
云南,2023,物理类,昆明医科大学,482
云南,2023,物理类,昆明医科大学海源学院,433
云南,2023,物理类,昆明卫生职业学院,357
云南,2023,物理类,昆明城市学院,425
云南,2023,物理类,昆明学院,452
云南,2023,物理类,昆明文理学院,401
云南,2023,物理类,昆明理工大学,437
云南,2023,物理类,昆明理工大学津桥学院,396
云南,2023,物理类,昆明科技职业大学,202
云南,2023,物理类,昆明铁道职业技术学院,313
云南,2023,物理类,昭通卫生职业学院,312
云南,2023,物理类,昭通学院,458
云南,2023,物理类,普洱学院,457
云南,2023,物理类,曲靖健康医学院,347
云南,2023,物理类,曲靖师范学院,437
云南,2023,物理类,楚雄医药高等专科学校,371
云南,2023,物理类,楚雄师范学院,422
云南,2023,物理类,滇池学院,408
云南,2023,物理类,滇西应用技术大学,438
云南,2023,物理类,滇西科技师范学院,452
云南,2023,物理类,玉溪师范学院,470
云南,2023,物理类,红河卫生职业学院,343
云南,2023,物理类,红河学院,443
云南,2023,物理类,西南林业大学,430
云南,2023,物理类,西双版纳职业技术学院,328
内蒙古,2023,历史类,乌兰察布医学高等专科学校,383
内蒙古,2024,历史类,乌兰察布医学高等专科学校,306
内蒙古,2023,历史类,乌兰察布职业学院,284
内蒙古,2024,历史类,乌兰察布职业学院,255
内蒙古,2023,历史类,乌海职业技术学院,343
内蒙古,2024,历史类,乌海职业技术学院,322
内蒙古,2023,历史类,兴安职业技术大学,244
内蒙古,2024,历史类,兴安职业技术大学,152
内蒙古,2023,历史类,内蒙古丰州职业学院,230
内蒙古,2024,历史类,内蒙古丰州职业学院,301
内蒙古,2023,历史类,内蒙古交通职业技术学院,291
内蒙古,2024,历史类,内蒙古交通职业技术学院,283
内蒙古,2023,历史类,内蒙古农业大学,495
内蒙古,2024,历史类,内蒙古农业大学,442
内蒙古,2023,历史类,内蒙古化工职业学院,286
内蒙古,2024,历史类,内蒙古化工职业学院,209
内蒙古,2023,历史类,内蒙古北方职业技术学院,290
内蒙古,2024,历史类,内蒙古北方职业技术学院,322
内蒙古,2023,历史类,内蒙古商贸职业学院,329
内蒙古,2024,历史类,内蒙古商贸职业学院,247
内蒙古,2023,历史类,内蒙古大学,419
内蒙古,2024,历史类,内蒙古大学,377
内蒙古,2023,历史类,内蒙古大学创业学院,462
内蒙古,2024,历史类,内蒙古大学创业学院,446
内蒙古,2023,历史类,内蒙古工业大学,474
内蒙古,2023,历史类,内蒙古师范大学,420
内蒙古,2024,历史类,内蒙古师范大学,291
内蒙古,2024,历史类,内蒙古建筑职业技术大学,262
内蒙古,2024,历史类,内蒙古机电职业技术学院,236
内蒙古,2023,历史类,内蒙古民族大学,453
内蒙古,2024,历史类,内蒙古民族大学,416
内蒙古,2024,历史类,内蒙古民族幼儿师范高等专科学校,299
内蒙古,2023,历史类,内蒙古电子信息职业技术学院,322
内蒙古,2024,历史类,内蒙古电子信息职业技术学院,246
内蒙古,2023,历史类,内蒙古科技大学,469
内蒙古,2024,历史类,内蒙古科技大学,297
内蒙古,2023,历史类,内蒙古科技大学包头师范学院,460
内蒙古,2024,历史类,内蒙古科技大学包头师范学院,450
内蒙古,2023,历史类,内蒙古科技职业学院,247
内蒙古,2024,历史类,内蒙古科技职业学院,315
内蒙古,2023,历史类,内蒙古美术职业学院,239
内蒙古,2024,历史类,内蒙古美术职业学院,291
内蒙古,2023,历史类,内蒙古能源职业学院,249
内蒙古,2024,历史类,内蒙古能源职业学院,311
内蒙古,2023,历史类,内蒙古艺术学院,452
内蒙古,2024,历史类,内蒙古艺术学院,443
内蒙古,2023,历史类,内蒙古财经大学,423
内蒙古,2024,历史类,内蒙古财经大学,320
内蒙古,2023,历史类,内蒙古鸿德文理学院,456
内蒙古,2024,历史类,内蒙古鸿德文理学院,403
内蒙古,2023,历史类,包头职业技术学院,318
内蒙古,2024,历史类,包头职业技术学院,233
内蒙古,2024,历史类,包头轻工职业技术学院,257
内蒙古,2024,历史类,包头钢铁职业技术学院,170
内蒙古,2024,历史类,包头铁道职业技术学院,340
内蒙古,2023,历史类,呼伦贝尔学院,368
内蒙古,2024,历史类,呼伦贝尔学院,370
内蒙古,2023,历史类,呼伦贝尔职业技术学院,282
内蒙古,2024,历史类,呼伦贝尔职业技术学院,301
内蒙古,2023,历史类,呼和浩特民族学院,409
内蒙古,2024,历史类,呼和浩特民族学院,381
内蒙古,2023,历史类,呼和浩特职业技术大学,295
内蒙古,2024,历史类,呼和浩特职业技术大学,249
内蒙古,2023,历史类,扎兰屯职业学院,335
内蒙古,2024,历史类,扎兰屯职业学院,211
内蒙古,2024,历史类,河套学院,442
内蒙古,2023,历史类,满洲里俄语职业学院,257
内蒙古,2024,历史类,满洲里俄语职业学院,200
内蒙古,2023,历史类,赤峰大学,375
内蒙古,2024,历史类,赤峰大学,336
内蒙古,2023,历史类,赤峰工业职业技术学院,209
内蒙古,2024,历史类,赤峰工业职业技术学院,286
内蒙古,2024,历史类,赤峰应用技术职业学院,289
内蒙古,2023,历史类,通辽职业学院,340
内蒙古,2024,历史类,通辽职业学院,175
内蒙古,2023,历史类,鄂尔多斯应用技术学院,470
内蒙古,2024,历史类,鄂尔多斯应用技术学院,435
内蒙古,2023,历史类,锡林郭勒职业学院,274
内蒙古,2024,历史类,锡林郭勒职业学院,219
内蒙古,2023,历史类,阿拉善职业技术学院,277
内蒙古,2024,历史类,阿拉善职业技术学院,311
内蒙古,2023,历史类,集宁师范学院,485
内蒙古,2024,历史类,集宁师范学院,411
内蒙古,2023,物理类,乌兰察布医学高等专科学校,386
内蒙古,2024,物理类,乌兰察布医学高等专科学校,323
内蒙古,2023,物理类,乌兰察布职业学院,358
内蒙古,2024,物理类,乌兰察布职业学院,295
内蒙古,2023,物理类,乌海职业技术学院,371
内蒙古,2024,物理类,乌海职业技术学院,258
内蒙古,2023,物理类,兴安职业技术大学,302
内蒙古,2024,物理类,兴安职业技术大学,286
内蒙古,2023,物理类,内蒙古丰州职业学院,285
内蒙古,2024,物理类,内蒙古丰州职业学院,369
内蒙古,2023,物理类,内蒙古交通职业技术学院,346
内蒙古,2024,物理类,内蒙古交通职业技术学院,358
内蒙古,2023,物理类,内蒙古农业大学,322
内蒙古,2024,物理类,内蒙古农业大学,285
内蒙古,2023,物理类,内蒙古化工职业学院,372
内蒙古,2024,物理类,内蒙古化工职业学院,219
内蒙古,2023,物理类,内蒙古北方职业技术学院,342
内蒙古,2024,物理类,内蒙古北方职业技术学院,318
内蒙古,2023,物理类,内蒙古医科大学,374
内蒙古,2024,物理类,内蒙古医科大学,312
内蒙古,2023,物理类,内蒙古商贸职业学院,367
内蒙古,2024,物理类,内蒙古商贸职业学院,238
